(1) GlymaID from Gmax version 2.0. Only primary predicted proteins were included in analyses. For more information on Gmax2.0 cDNAs see http://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Gmax.
(2) Top Uniref100 BLASTP Hit. Match determined via BLASTP of Gmax2.0 primary proteins against Uniref100 (version 03/27/2014). E-value for the top high scoring pair(HSP) is indicated. Top Uniref100 percent coverage determined by dividing the length of the top HSP by the length of the hit sequence.
(3) Top Descriptive Uniref100 BLASTP Hit. The BLAST report generated above (2) was parsed to eliminate uninformative hits.  Hits including the words uncharacterized, putative, related, predicted, orf, expressed or containing Arabidopsis or Rice gene identifiers (AtXgXXXXX, OsXXgXXXXX) were ignored. E-value for the top high scoring pair(HSP) is indicated. Top Uniref100 percent coverage determined by dividing the length of the top HSP by the length of the hit sequence.
(4) Top Arabidopsis (TAIR10) BLASTP Hit (4). Match determined via BLASTP of Gmax2.0 primary proteins against Arabidopsis thaliana proteins (TAIR10). For additional details see www.arabidopsis.org. E-value for the top high scoring pair(HSP) is indicated. Percent coverage determined by dividing the length of the top HSP by the length of the hit sequence.
(5) Gene Ontology Biological Process IDs. GO Biological Process IDs were assigned to each Gmax2.0 ID using the GO terms associated with the Top TAIR10 BLASTP Hit (4). The annotation information was obtained from TAIR v 10 (03/27/14). Descriptions for the GO terms are also provided.
(6) Gene Ontology Molecular Function IDs. GO Molecular Function IDs were assigned to each Gmax2.0 ID using the GO terms associated with the Top TAIR10 BLASTP Hit (4). The annotation information was obtained from TAIR v. 10 (03/27/14). Descriptions for the GO terms are also provided.
(7) Gene Ontology Cellular Component IDs. GO Cellular Component IDs were assigned to each Gmax2.0 ID using the GO terms associated with the Top TAIR10 BLASTP Hit (4). The annotation information was obtained from TAIR v 10 (03/27/14). Descriptions for the GO terms are also provided.
(8) PFAM IDs and descriptions were assigned by Phytozome. For more information see http://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Gmax.
(9) PANTHER IDs and descriptions were assigned by Phytozome. For more information see http://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Gmax.
(10) KOG IDs and descriptions were assigned by Phytozome. For more information see http://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Gmax.

Gmax 2.0 Primary Protein ID (1)	Protein Length (AA)	Top Uniref100 BLASTP Hit (2)	E-value (E<10-6)	% Coverage	Top Descriptive Uniref100 BLASTP Hit (3)	E-value (E<10-6)	% Coverage	Top Arabidopsis (TAIR10) BLASTP Hit (4)	E-value (E<10-6)	Coverage	Gene Ontology Biological Process IDs (5)	Gene Ontology Biological Process Descriptions	Gene Ontology Molecular Function IDs (6)	Gene Ontology Molecular Function Descriptions	Gene Ontology Cellular Component IDs (7)	Gene Ontology Cellular Component Descriptions	PFAM IDs (8)	PFAM_Descriptions	Panther IDs (9)	Panther_Descriptions	KOG IDs (10)	KOG_Desctiptions
Glyma.01G001100	434	UniRef100_K7K109 Uncharacterized protein n=2 Tax=Glycine max RepID=K7K109_SOYBN	0	100	UniRef100_B9N815 Proton extrusion family protein n=1 Tax=Populus trichocarpa RepID=B9N815_POPTR	0	96.82	AT4G31040.1|Symbols:|CemA-like proton extrusion protein-related|chr4:15111811-15113881 REVERSE LENGTH=438	0	98.86	GO:0008150	biological process	NA	NA	GO:0005886 GO:0016021	integral to membrane; plasma membrane	PF03040	CemA family	NA	NA	NA	NA	
Glyma.01G001200	806	UniRef100_I1J4A1 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4A1_SOYBN	0	100	UniRef100_F4IK92 ARM repeat superfamily protein n=1 Tax=Arabidopsis thaliana RepID=F4IK92_ARATH	0	96.59	AT2G07170.1|Symbols:|ARM repeat superfamily protein|chr2:2975565-2978692 FORWARD LENGTH=820	0	96.59	GO:0000910 GO:0006270 GO:0006275 GO:0006346 GO:0006886 GO:0007017 GO:0008283 GO:0009909 GO:0016192 GO:0016458 GO:0031048 GO:0034968 GO:0051567 GO:0051726	DNA replication initiation; cell proliferation; chromatin silencing by small RNA; cytokinesis; gene silencing; histone H3-K9 methylation; histone lysine methylation; intracellular protein transport; methylation-dependent chromatin silencing; microtubule-based process; regulation of DNA replication; regulation of cell cycle; regulation of flower development; vesicle-mediated transport	NA	NA	GO:0005737 GO:0030117	cytoplasm; membrane coat	NA	NA	NA	NA	NA	NA	
Glyma.01G001300	758	UniRef100_I1J4A2 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4A2_SOYBN	0	101.47	UniRef100_Q9SXV6 Cycloartenol synthase n=1 Tax=Glycyrrhiza glabra RepID=CAS1_GLYGL	0	100	AT2G07050.1|Symbols:CAS1|cycloartenol synthase 1|chr2:2924629-2930295 FORWARD LENGTH=759	0	99.34	GO:0006636 GO:0006655 GO:0009555 GO:0010027 GO:0015995 GO:0016117 GO:0016126 GO:0019288 GO:0019745	carotenoid biosynthetic process; chlorophyll biosynthetic process; isopentenyl diphosphate biosynthetic process, mevalonate-independent pathway; pentacyclic triterpenoid biosynthetic process; phosphatidylglycerol biosynthetic process; pollen development; sterol biosynthetic process; thylakoid membrane organization; unsaturated fatty acid biosynthetic process	GO:0003824 GO:0016866 GO:0016871	catalytic activity; cycloartenol synthase activity; intramolecular transferase activity	GO:0005773	vacuole	PF00432	Prenyltransferase and squalene oxidase repeat	PTHR11764	LANOSTEROL SYNTHASE	KOG0497	Oxidosqualene-lanosterol_cyclase_and_related_proteins  	
Glyma.01G001400	115	UniRef100_K7K111 Reticulon-like protein n=1 Tax=Glycine max RepID=K7K111_SOYBN	6.00E-74	100	UniRef100_K7K111 Reticulon-like protein n=1 Tax=Glycine max RepID=K7K111_SOYBN	6.00E-74	100	AT3G19460.1|Symbols:|Reticulon family protein|chr3:6747600-6748904 FORWARD LENGTH=200	4.00E-32	52	GO:0008150	biological process	GO:0003674	molecular function	GO:0005783	endoplasmic reticulum	PF02453	Reticulon	PTHR10994	RETICULON	NA	NA	
Glyma.01G001500	768	UniRef100_I1J4A4 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4A4_SOYBN	0	100	UniRef100_Q1ERD4 Oxidosqualene cyclase n=1 Tax=Lotus japonicus RepID=Q1ERD4_LOTJA	0	100	AT2G07050.1|Symbols:CAS1|cycloartenol synthase 1|chr2:2924629-2930295 FORWARD LENGTH=759	0	99.74	GO:0006636 GO:0006655 GO:0009555 GO:0010027 GO:0015995 GO:0016117 GO:0016126 GO:0019288 GO:0019745	carotenoid biosynthetic process; chlorophyll biosynthetic process; isopentenyl diphosphate biosynthetic process, mevalonate-independent pathway; pentacyclic triterpenoid biosynthetic process; phosphatidylglycerol biosynthetic process; pollen development; sterol biosynthetic process; thylakoid membrane organization; unsaturated fatty acid biosynthetic process	GO:0003824 GO:0016866 GO:0016871	catalytic activity; cycloartenol synthase activity; intramolecular transferase activity	GO:0005773	vacuole	PF00432	Prenyltransferase and squalene oxidase repeat	PTHR11764	LANOSTEROL SYNTHASE	KOG0497	Oxidosqualene-lanosterol_cyclase_and_related_proteins  	
Glyma.01G001600	907	UniRef100_I1J4A5 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4A5_SOYBN	0	100	UniRef100_B9HBB5 Transducin family protein n=1 Tax=Populus trichocarpa RepID=B9HBB5_POPTR	0	99.45	AT4G04940.1|Symbols:|transducin family protein / WD-40 repeat family protein|chr4:2511212-2517052 REVERSE LENGTH=910	0	99.45	GO:0000398 GO:0006364 GO:0006606 GO:0009220	mRNA splicing, via spliceosome; protein import into nucleus; pyrimidine ribonucleotide biosynthetic process; rRNA processing	GO:0000166	nucleotide binding	GO:0005634 GO:0080008	CUL4-RING ubiquitin ligase complex; nucleus	PF04192 PF00400	Utp21 specific WD40 associated putative domain ; WD domain, G-beta repeat	PTHR13889	PRE-MRNA SPLICING FACTOR PRP19-RELATED	KOG1539	WD_repeat_protein  	
Glyma.01G001700	348	UniRef100_I1J4A6 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4A6_SOYBN	0	100	UniRef100_B9HBB3 3-phosphoinositide-dependent protein kinase-1 n=1 Tax=Populus trichocarpa RepID=B9HBB3_POPTR	2.00E-110	96.12	AT3G10572.1|Symbols:|3-phosphoinositide-dependent protein kinase-1, putative|chr3:3304346-3306306 FORWARD LENGTH=333	9.00E-73	100.9	GO:0043574	peroxisomal transport	GO:0003824 GO:0005515	catalytic activity; protein binding	GO:0005730 GO:0005739 GO:0005777	mitochondrion; nucleolus; peroxisome	NA	NA	NA	NA	NA	NA	
Glyma.01G001800	618	UniRef100_K7K112 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K112_SOYBN	0	100	UniRef100_G7LIV0 Receptor-like protein kinase n=1 Tax=Medicago truncatula RepID=G7LIV0_MEDTR	0	97.43	AT5G35390.1|Symbols:|Leucine-rich repeat protein kinase family protein|chr5:13596918-13598976 FORWARD LENGTH=662	0	89.73	GO:0006468 GO:0007169 GO:0009860	pollen tube growth; protein phosphorylation; transmembrane receptor protein tyrosine kinase signaling pathway	GO:0004672 GO:0004674 GO:0005524 GO:0016301 GO:0016772	ATP binding; kinase activity; protein kinase activity; protein serine/threonine kinase activity; transferase activity, transferring phosphorus-containing groups	GO:0016324 GO:0045177	apical part of cell; apical plasma membrane	PF00069 PF08263 PF00560	Protein kinase domain; Leucine rich repeat N-terminal domain; Leucine Rich Repeat	PTHR24420	LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE	KOG1187	Serine/threonine_protein_kinase  	
Glyma.01G001900	799	UniRef100_UPI00023BAE8F PREDICTED: U-box domain-containing protein 52-like n=1 Tax=Glycine max RepID=UPI00023BAE8F	0	100	UniRef100_G7LIV3 U-box domain-containing protein n=1 Tax=Medicago truncatula RepID=G7LIV3_MEDTR	0	99.63	AT2G24370.1|Symbols:|Protein kinase protein with adenine nucleotide alpha hydrolases-like domain|chr2:10369979-10373063 REVERSE LENGTH=788	0	92.26	GO:0002238 GO:0006468	protein phosphorylation; response to molecule of fungal origin	GO:0004672 GO:0004674 GO:0005524 GO:0016301 GO:0016772	ATP binding; kinase activity; protein kinase activity; protein serine/threonine kinase activity; transferase activity, transferring phosphorus-containing groups	GO:0005886	plasma membrane	PF00069 PF00582	Protein kinase domain; Universal stress protein family	PTHR24420	LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE	KOG1187	Serine/threonine_protein_kinase  	
Glyma.01G002000	144	UniRef100_C6T1D3 Uncharacterized protein n=1 Tax=Glycine max RepID=C6T1D3_SOYBN	8.00E-102	100	UniRef100_E4MWR8 mRNA, clone: RTFL01-09-F11 n=2 Tax=Eutrema RepID=E4MWR8_THEHA	1.00E-13	25.5	AT5G20700.1|Symbols:|Protein of unknown function (DUF581)|chr5:7006178-7007003 REVERSE LENGTH=248	3.00E-16	25.81	GO:0006612 GO:0006816 GO:0006833 GO:0007030 GO:0008150 GO:0009651 GO:0009750 GO:0009963 GO:0010363	Golgi organization; biological process; calcium ion transport; positive regulation of flavonoid biosynthetic process; protein targeting to membrane; regulation of plant-type hypersensitive response; response to fructose stimulus; response to salt stress; water transport	NA	NA	NA	NA	PF04570	Protein of unknown function (DUF581)	NA	NA	NA	NA	
Glyma.01G002100	1105	UniRef100_I1J4B0 Auxin response factor n=1 Tax=Glycine max RepID=I1J4B0_SOYBN	0	100	UniRef100_I1J4B0 Auxin response factor n=1 Tax=Glycine max RepID=I1J4B0_SOYBN	0	100	AT1G19220.1|Symbols:ARF19, IAA22, ARF11|auxin response factor 19|chr1:6628395-6632779 REVERSE LENGTH=1086	0	41.9	GO:0006355 GO:0007155 GO:0009723 GO:0009725 GO:0009733 GO:0009741 GO:0010090 GO:0010311 GO:0010583 GO:0045010 GO:0048366 GO:0048527 GO:0048765 GO:0071555	actin nucleation; cell adhesion; cell wall organization; lateral root development; lateral root formation; leaf development; regulation of transcription, DNA-dependent; response to auxin stimulus; response to brassinosteroid stimulus; response to cyclopentenone; response to ethylene stimulus; response to hormone stimulus; root hair cell differentiation; trichome morphogenesis	GO:0003677 GO:0003700 GO:0043565 GO:0046983	DNA binding; protein dimerization activity; sequence-specific DNA binding; sequence-specific DNA binding transcription factor activity	GO:0005634	nucleus	PF02309 PF02362 PF06507	AUX/IAA family; B3 DNA binding domain; Auxin response factor	NA	NA	NA	NA	
Glyma.01G002200	313	UniRef100_K7K117 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K117_SOYBN	0	100	UniRef100_Q8LA53 Methyl-CpG-binding domain-containing protein 2 n=1 Tax=Arabidopsis thaliana RepID=MBD2_ARATH	5.00E-87	97.79	AT5G35330.3|Symbols:MBD02|methyl-CPG-binding domain protein 02|chr5:13523725-13525270 REVERSE LENGTH=272	6.00E-90	97.79	GO:0008150	biological process	GO:0003677 GO:0008270 GO:0019899	DNA binding; enzyme binding; zinc ion binding	GO:0005634	nucleus	PF01429 PF07496	Methyl-CpG binding domain; CW-type Zinc Finger	PTHR15547	No Available Panther Description	NA	NA	
Glyma.01G002300	525	UniRef100_K7K118 Uncharacterized protein n=2 Tax=Glycine max RepID=K7K118_SOYBN	0	100	UniRef100_B9IN02 Sodium transporter family protein n=1 Tax=Populus trichocarpa RepID=B9IN02_POPTR	8.00E-178	98.42	AT4G10310.1|Symbols:HKT1, ATHKT1|high-affinity K+ transporter 1|chr4:6392008-6395667 FORWARD LENGTH=506	1.00E-151	91.5	GO:0006813 GO:0006814 GO:0006970 GO:0009651 GO:0035725	potassium ion transport; response to osmotic stress; response to salt stress; sodium ion transmembrane transport; sodium ion transport	GO:0008324 GO:0015079 GO:0015081	cation transmembrane transporter activity; potassium ion transmembrane transporter activity; sodium ion transmembrane transporter activity	GO:0005886 GO:0016021	integral to membrane; plasma membrane	PF02386	Cation transport protein	NA	NA	NA	NA	
Glyma.01G002400	158	UniRef100_K7K119 Uncharacterized protein n=2 Tax=Glycine max RepID=K7K119_SOYBN	5.00E-112	69.47	UniRef100_B9SCE0 Phospholipase A21 n=1 Tax=Ricinus communis RepID=B9SCE0_RICCO	4.00E-71	83.75	AT2G06925.1|Symbols:ATSPLA2-ALPHA, PLA2-ALPHA|Phospholipase A2 family protein|chr2:2842475-2843212 REVERSE LENGTH=148	1.00E-73	104.05	NA	NA	GO:0004623	phospholipase A2 activity	GO:0005576 GO:0005773 GO:0005794	Golgi apparatus; extracellular region; vacuole	NA	NA	NA	NA	NA	NA	
Glyma.01G002500	148	UniRef100_K7K120 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K120_SOYBN	4.00E-100	100	UniRef100_Q8GXH3-2 Isoform 2 of Protein OSB2, chloroplastic n=1 Tax=Arabidopsis thaliana RepID=Q8GXH3-2	4.00E-27	36.66	AT4G20010.2|Symbols:PTAC9, OSB2|plastid transcriptionally active 9|chr4:10842128-10843989 FORWARD LENGTH=371	5.00E-30	36.66	GO:0008150	biological process	GO:0003697	single-stranded DNA binding	GO:0009295 GO:0009507 GO:0009508	chloroplast; nucleoid; plastid chromosome	NA	NA	NA	NA	NA	NA	
Glyma.01G002600	463	UniRef100_I1J4B5 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4B5_SOYBN	0	100	UniRef100_D7MCJ0 Type I phosphodiesterase/nucleotide pyrophosphatase family protein n=1 Tax=Arabidopsis lyrata subsp. lyrata RepID=D7MCJ0_ARALL	0	80.44	AT4G29680.1|Symbols:|Alkaline-phosphatase-like family protein|chr4:14538067-14539557 REVERSE LENGTH=496	0	80.44	GO:0000394 GO:0008152 GO:0009086 GO:0009117	RNA splicing, via endonucleolytic cleavage and ligation; metabolic process; methionine biosynthetic process; nucleotide metabolic process	GO:0003824 GO:0016787	catalytic activity; hydrolase activity	GO:0005634 GO:0005773	nucleus; vacuole	PF01663	Type I phosphodiesterase / nucleotide pyrophosphatase	PTHR10151	ECTONUCLEOTIDE PYROPHOSPHATASE/PHOSPHODIESTERASE	KOG2645	Type_I_phosphodiesterase/nucleotide_pyrophosphatase  	
Glyma.01G002700	213	UniRef100_I1J4B6 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4B6_SOYBN	1.00E-154	100	UniRef100_G7KJV3 Thioredoxin-like protein n=1 Tax=Medicago truncatula RepID=G7KJV3_MEDTR	7.00E-110	97.2	AT4G29670.1|Symbols:ACHT2|atypical CYS HIS rich thioredoxin 2|chr4:14535772-14537108 REVERSE LENGTH=235	9.00E-87	66.81	GO:0006662 GO:0045454	cell redox homeostasis; glycerol ether metabolic process	GO:0009055 GO:0015035 GO:0016671	electron carrier activity; oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor; protein disulfide oxidoreductase activity	GO:0009507	chloroplast	PF00085	Thioredoxin	PTHR10438	THIOREDOXIN	KOG0907	Thioredoxin  	
Glyma.01G002800	201	UniRef100_K7K122 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K122_SOYBN	6.00E-141	100	UniRef100_G7KJV2 PRA1 family protein F2 n=1 Tax=Medicago truncatula RepID=G7KJV2_MEDTR	4.00E-97	99	AT1G55190.1|Symbols:PRA1.F2, PRA7|PRA1 (Prenylated rab acceptor) family protein|chr1:20588450-20589019 FORWARD LENGTH=189	1.00E-53	99.47	GO:0016192	vesicle-mediated transport	NA	NA	GO:0005774 GO:0005783 GO:0005794 GO:0009507	Golgi apparatus; chloroplast; endoplasmic reticulum; vacuolar membrane	PF03208	PRA1 family protein	PTHR19317	PRENYLATED RAB ACCEPTOR 1-RELATED	KOG3142	Prenylated_rab_acceptor_1  	
Glyma.01G002900	259	UniRef100_K7K123 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K123_SOYBN	2.00E-175	93.48	UniRef100_Q9SU88 Methyltransferase n=2 Tax=Arabidopsis thaliana RepID=Q9SU88_ARATH	1.00E-113	61.51	AT4G29590.1|Symbols:|S-adenosyl-L-methionine-dependent methyltransferases superfamily protein|chr4:14512736-14514404 REVERSE LENGTH=317	2.00E-116	61.51	GO:0008152	metabolic process	GO:0008168	methyltransferase activity	GO:0009507	chloroplast	PF08241	Methyltransferase domain	PTHR10108	METHYLTRANSFERASE	NA	NA	
Glyma.01G003000	279	UniRef100_I1J4B9 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4B9_SOYBN	0	100	UniRef100_Q0PJG7 MYB transcription factor MYB129 (Fragment) n=1 Tax=Glycine max RepID=Q0PJG7_SOYBN	0	94.57	AT5G56840.1|Symbols:|myb-like transcription factor family protein|chr5:22980789-22982152 FORWARD LENGTH=233	3.00E-56	70.39	GO:0006355	regulation of transcription, DNA-dependent	GO:0003676 GO:0003677 GO:0003700 GO:0008270	DNA binding; nucleic acid binding; sequence-specific DNA binding transcription factor activity; zinc ion binding	GO:0005634	nucleus	PF00249	Myb-like DNA-binding domain	PTHR12374	TRANSCRIPTIONAL ADAPTOR 2 (ADA2)-RELATED	NA	NA	
